date,testing_day,mouse_1_id,mouse_2_id,cage_1_rank,cage_2_rank,winner_rank,loser_rank
31/07/2023,1,C00696890A,C00752362B,3,4,3,4
31/07/2023,1,C00696890B,C00752362A,2,3,2,3
31/07/2023,1,C00696890C,C00752362D,4,1,1,4
31/07/2023,1,C00696890D,C00752362C,1,2,2,1
31/07/2023,1,C00696890D,C00752362C,1,2,1,2
31/07/2023,1,C00696890D,C00752362C,1,2,1,2
31/07/2023,1,C00696890B,C00752362D,2,1,2,1
31/07/2023,1,C00696890B,C00752362D,2,1,2,1
31/07/2023,1,C00696890A,C00752362C,3,2,2,3
31/07/2023,1,C00696890C,C00752362A,4,3,3,4
31/07/2023,1,C00696890D,C00752362B,1,4,1,4
31/07/2023,1,C00696890A,C00752362D,3,1,3,1
31/07/2023,1,C00696890A,C00752362D,3,1,3,1
31/07/2023,1,C00696890D,C00752362A,1,3,1,3
31/07/2023,1,C00696890B,C00752362B,2,4,2,4
31/07/2023,1,C00696890C,C00752362C,4,2,2,4
04/08/2023,2,C00696890A,C00752362B,3,4,3,4
04/08/2023,2,C00696890B,C00752362A,1,3,1,3
04/08/2023,2,C00696890C,C00752362D,4,2,4,2
04/08/2023,2,C00696890D,C00752362C,2,1,1,2
04/08/2023,2,C00696890B,C00752362D,1,2,1,2
04/08/2023,2,C00696890A,C00752362C,3,1,1,3
04/08/2023,2,C00696890C,C00752362A,4,3,4,3
04/08/2023,2,C00696890D,C00752362B,2,4,2,4
04/08/2023,2,C00696890A,C00752362D,3,2,3,2
04/08/2023,2,C00696890D,C00752362A,2,3,2,3
04/08/2023,2,C00696890B,C00752362B,1,4,1,4
04/08/2023,2,C00696890C,C00752362C,4,1,1,4
02/03/2022,1,C00628128A,C00628151B,4,3,3,4
02/03/2022,1,C00628128B,C00628151A,2,4,2,4
02/03/2022,1,C00628128C,C00628151D,1,2,1,2
02/03/2022,1,C00628128D,C00628151C,3,1,1,3
02/03/2022,1,C00628128A,C00628151C,4,1,1,4
02/03/2022,1,C00628128C,C00628151A,1,4,1,4
02/03/2022,1,C00628128A,C00628151D,4,2,2,4
02/03/2022,1,C00628128B,C00628151C,2,1,1,2
02/03/2022,1,C00628128C,C00628151B,1,3,1,3
02/03/2022,1,C00628128C,C00628151B,1,3,1,3
02/03/2022,1,C00628128C,C00628151B,1,3,3,1
02/03/2022,1,C00628128D,C00628151A,3,4,3,4
02/03/2022,1,C00628128B,C00628151B,2,3,2,3
02/03/2022,1,C00628128D,C00628151D,3,2,3,2
02/03/2022,1,C00628128D,C00628151D,3,2,2,3
02/03/2022,1,C00628128D,C00628151D,3,2,2,3
07/03/2022,2,C00628128A,C00628151B,4,1,1,4
07/03/2022,2,C00628128B,C00628151A,2,4,2,4
07/03/2022,2,C00628128D,C00628151C,1,2,1,2
07/03/2022,2,C00628128D,C00628151C,1,2,1,2
07/03/2022,2,C00628128B,C00628151D,2,3,2,3
07/03/2022,2,C00628128A,C00628151C,4,2,2,4
07/03/2022,2,C00628128C,C00628151A,3,4,3,4
07/03/2022,2,C00628128A,C00628151D,4,3,3,4
07/03/2022,2,C00628128C,C00628151B,3,1,1,3
07/03/2022,2,C00628128D,C00628151A,1,4,1,4
07/03/2022,2,C00628128B,C00628151B,2,1,1,2
07/03/2022,2,C00628128C,C00628151C,3,2,2,3
07/03/2022,2,C00628128D,C00628151D,1,3,3,1
07/03/2022,2,C00628128D,C00628151D,1,3,1,3
07/03/2022,2,C00628128D,C00628151D,1,3,1,3
,,,,,,,
02/03/2022,1,placeholder,placeholder,2,2,2,2
07/03/2022,2,placeholder,placeholder,2,2,2,2
31/07/2023,1,placeholder,placeholder,2,2,2,2
04/08/2023,2,placeholder,placeholder,2,2,2,2